wavelength (nm),absorption per pass (percentage)
899.9995531,43.05143979
900.3118926,41.72235796
900.6243443,39.54116182
900.9369331,36.70867855
901.2496845,33.42924076
901.5626206,29.88043869
901.8757583,26.19869826
902.1891111,22.49186177
902.5026931,18.87209842
902.8165208,15.4724544
903.1306107,12.42416116
903.4449748,9.823446953
903.7596184,7.711515004
904.0745393,6.067936232
904.3897291,4.823598215
904.7051777,3.894500968
905.020876,3.203954616
905.3368161,2.685718377
905.6529917,2.288295631
905.9693992,1.979340522
906.2860363,1.738278801
906.602901,1.547970854
906.9199924,1.397413387
907.2373096,1.279090858
907.5548516,1.182146921
907.8726176,1.09905364
908.190608,1.029757846
908.5088227,0.972462491
908.8272612,0.921245423
909.1459237,0.875375395
909.4648108,0.83829407
909.7839226,0.808471738
910.103259,0.782879131
910.4228201,0.761758743
910.7426061,0.743409127
911.0626167,0.724680627
911.3828525,0.707433912
911.703314,0.694069628
912.0240011,0.682006429
912.3449139,0.670305926
912.6660531,0.661905206
912.9874187,0.656457209
913.3090108,0.651408912
913.6308298,0.648339483
913.9528759,0.647733961
914.2751489,0.644946673
914.5976489,0.639005592
914.9203764,0.633210747
915.2433318,0.627156649
915.566515,0.619209133
915.8899267,0.612099913
916.2135672,0.608123412
916.5374368,0.605420616
916.8615355,0.603566563
917.1858636,0.6030038
917.5104212,0.601513916
917.8352084,0.599380124
918.160226,0.59990953
918.485474,0.601577731
918.8109521,0.599912555
919.1366608,0.596801224
919.4626008,0.596014698
919.788772,0.595894023
920.1151748,0.595722113
920.4418098,0.598990202
920.7686771,0.605894746
921.0957767,0.612623944
921.4231087,0.61866608
921.7506733,0.62420876
922.0784705,0.626559097
922.4065007,0.626715552
922.7347647,0.629555606
923.0632629,0.636136145
923.3919952,0.644139615
923.7209619,0.654040429
924.0501634,0.66581728
924.3795995,0.676987963
924.7092709,0.690705554
925.0391787,0.713485184
925.3693231,0.745928736
925.6997043,0.786541907
926.0303228,0.838222832
926.3611791,0.902826861
926.6922734,0.979337707
927.0236062,1.070527802
927.3551782,1.178988997
927.6869888,1.299512618
928.0190375,1.424177689
928.3513236,1.545551874
928.6838454,1.648462505
929.0166007,1.712712427
929.3495884,1.72663797
929.6828082,1.686806201
930.0162604,1.592643442
930.3499462,1.452745073
930.6838685,1.287649821
931.0180299,1.11611004
931.3524319,0.94968836
931.6870764,0.800517492
932.0219645,0.675486123
932.357096,0.571846482
932.6924708,0.485462772
933.0280887,0.414045761
933.3639497,0.353181698
933.7000528,0.29492482
934.0363983,0.238366832
934.3729878,0.194571099
934.7098224,0.170900787
935.0469016,0.160633498
935.3842241,0.151220347
935.7217898,0.139046043
936.0595997,0.131179861
936.3976541,0.126740059
936.7359517,0.114675536
937.0744931,0.09590508
937.41328,0.083136791
937.7523131,0.080299193
938.0915919,0.079885586
938.4311163,0.079429694
938.7708872,0.084842924
939.1109047,0.094069742
939.451168,0.098241986
939.7916774,0.097433948
940.1324336,0.096544349
940.473437,0.09457106
940.8146874,0.090207433
941.1561858,0.087081021
941.4979325,0.086285882
941.8399272,0.083643733
942.1821696,0.074592101
942.5246602,0.059844408
942.8674003,0.048426248
943.2103911,0.048164638
943.553632,0.052200855
943.8971218,0.047725755
944.2408614,0.040151483
944.5848532,0.046668871
944.929097,0.06366794
945.2735905,0.070229195
945.6183335,0.062324836
945.9633282,0.055477945
946.3085759,0.058321082
946.6540764,0.066640551
946.9998292,0.075101974
947.3458341,0.078185074
947.6920906,0.071373412
948.0385999,0.061123686
948.3853638,0.059379163
948.7323823,0.064703956
949.0796542,0.064727986
949.4271792,0.054915338
949.7749585,0.043073549
950.1229938,0.039920747
950.4712858,0.049905962
950.8198341,0.066042999
951.168637,0.0737151
951.5176942,0.066945217
951.867007,0.05539099
952.2165772,0.049487276
952.5664051,0.051425804
952.9164909,0.059181127
953.2668341,0.066999272
953.6174341,0.067693986
953.9682912,0.061528992
954.3194068,0.056269339
954.6707814,0.055326579
955.022415,0.055765265
955.3743079,0.056854138
955.7264602,0.058419627
956.0788719,0.057435993
956.4315434,0.054650288
956.7844755,0.054768252
957.1376685,0.057756175
957.4911221,0.058876309
957.8448365,0.05692292
958.1988121,0.053659288
958.5530494,0.049053472
958.9075487,0.045013932
959.2623107,0.044746844
959.6173356,0.046226767
959.9726231,0.045997743
960.3281738,0.045293696
960.6839881,0.045796461
961.0400661,0.046096704
961.3964081,0.045916393
961.7530144,0.045262541
962.109885,0.042152192
962.4670206,0.038633664
962.8244218,0.039221486
963.1820888,0.040845656
963.5400209,0.037612334
963.8982189,0.031635342
964.2566835,0.027760282
964.6154149,0.025144356
964.9744135,0.022723462
965.3336795,0.022220155
965.6932132,0.021439027
966.0530143,0.017180835
966.4130836,0.012657069
966.7734217,0.011031419
967.1340288,0.010304993
967.4949051,0.009866918
967.8560509,0.010952882
968.2174663,0.010733661
968.5791512,0.006813788
968.9411064,0.002734053
969.3033325,0.00034094
969.6658293,-0.00329746
970.0285973,-0.007701433
970.3916371,-0.010002952
