wavelength (nm),fluorescence (arb. units)
838.022,910.755
838.182,979.8
838.343,1053.36
838.504,1144.215
838.665,1181.715
838.826,1242.6
838.987,1265.685
839.148,1342.65
839.308,1342.395
839.469,1377.465
839.63,1332.285
839.791,1365.435
839.952,1315.26
840.113,1330.665
840.274,1316.4
840.434,1349.64
840.595,1282.635
840.756,1310.085
840.917,1276.185
841.078,1337.265
841.239,1308.84
841.399,1318.605
841.56,1275.195
841.721,1318.665
841.882,1281.435
842.043,1289.025
842.204,1244.025
842.364,1276.98
842.525,1229.925
842.686,1279.545
842.847,1273.335
843.008,1324.71
843.168,1313.85
843.329,1346.22
843.49,1340.205
843.651,1347.345
843.812,1284.06
843.972,1264.89
844.133,1266.57
844.294,1332.93
844.455,1330.785
844.616,1344.375
844.776,1292.145
844.937,1300.965
845.098,1260.255
845.259,1284.63
845.419,1270.26
845.58,1326.12
845.741,1344.3
845.902,1395.135
846.063,1383.315
846.223,1438.935
846.384,1426.71
846.545,1465.98
846.706,1456.8
846.866,1539.375
847.027,1520.1
847.188,1552.8
847.349,1525.56
847.509,1584.39
847.67,1579.44
847.831,1616.865
847.991,1635.51
848.152,1688.13
848.313,1659.81
848.474,1681.485
848.634,1686.735
848.795,1719.93
848.956,1669.755
849.117,1717.335
849.277,1734.66
849.438,1787.43
849.599,1768.665
849.759,1741.305
849.92,1681.095
850.081,1714.035
850.241,1725
850.402,1816.695
850.563,1819.23
850.724,1862.19
850.884,1778.325
851.045,1752.9
851.206,1690.725
851.366,1754.01
851.527,1741.05
851.688,1797.585
851.848,1844.025
852.009,1939.23
852.17,1975.035
852.33,2045.85
852.491,2052.03
852.652,2071.125
852.812,2002.725
852.973,2029.605
853.134,2031.315
853.294,2113.875
853.455,2193.255
853.616,2326.095
853.776,2417.715
853.937,2548.905
854.098,2491.35
854.258,2429.775
854.419,2302.755
854.579,2345.025
854.74,2372.295
854.901,2543.1
855.061,2617.485
855.222,2740.155
855.383,2705.1
855.543,2791.56
855.704,2838.57
855.864,3004.275
856.025,3063.57
856.186,3100.74
856.346,3041.415
856.507,3031.35
856.668,3039.795
856.828,3158.19
856.989,3240.195
857.149,3462.495
857.31,3438.81
857.471,3344.085
857.631,3234.315
857.792,3243.15
857.952,3238.17
858.113,3386.73
858.273,3479.25
858.434,3616.35
858.595,3661.44
858.755,3804.855
858.916,3835.215
859.076,4044.45
859.237,3963.285
859.397,3912.555
859.558,3808.77
859.719,3892.425
859.879,3865.44
860.04,3929.04
860.2,3842.025
860.361,3871.155
860.521,3806.235
860.682,3809.67
860.842,3749.85
861.003,3966.645
861.163,4094.07
861.324,4150.155
861.485,4168.035
861.645,4261.605
861.806,4342.425
861.966,4498.38
862.127,4512.72
862.287,4639.215
862.448,4420.32
862.608,4391.1
862.769,4348.5
862.929,4489.08
863.09,4370.82
863.25,4404.03
863.411,4281.96
863.571,4229.04
863.732,4120.815
863.892,4287.795
864.053,4387.74
864.213,4527.99
864.374,4318.17
864.534,4227.915
864.695,4192.455
864.855,4266.75
865.016,4312.635
865.176,4513.89
865.337,4569.75
865.497,4648.08
865.658,4669.905
865.818,4713.315
865.979,4682.04
866.139,4811.82
866.299,4729.575
866.46,4816.2
866.62,4839.675
866.781,4996.44
866.941,4867.365
867.102,4881.105
867.262,4919.07
867.423,5121.54
867.583,5097.915
867.743,5170.695
867.904,5263.05
868.064,5476.29
868.225,5408.955
868.385,5277.825
868.546,5190.045
868.706,5340.615
868.867,5365.575
869.027,5369.52
869.187,5290.575
869.348,5414.82
869.508,5396.73
869.669,5280.495
869.829,5208.36
869.989,5325.27
870.15,5296.74
870.31,5084.235
870.471,4912.23
870.631,4907.925
870.791,4826.565
870.952,4798.515
871.112,4634.715
871.273,4564.17
871.433,4337.1
871.593,4211.535
871.754,4129.14
871.914,4097.7
872.074,3950.355
872.235,3961.755
872.395,3919.275
872.556,3947.07
872.716,3828.285
872.876,3738.33
873.037,3580.575
873.197,3426.6
873.357,3156.93
873.518,3032.745
873.678,2935.875
873.838,2923.83
873.999,2883.3
874.159,2968.83
874.32,2981.52
874.48,2955.285
874.64,2833.815
874.801,2770.665
874.961,2655.855
875.121,2633.895
